Título,Gênero,Descrição
"Iron Man","Ação, Aventura, Sci-Fi","Um bilionário inventor cria uma armadura de alta tecnologia para combater o mal."
"The Incredible Hulk","Ação, Aventura, Sci-Fi","Um cientista em fuga tenta curar sua condição que o transforma em um monstro gigante."
"Iron Man 2","Ação, Aventura, Sci-Fi","Enquanto Tony Stark enfrenta problemas de saúde, um novo vilão surge para derrotá-lo."
"Thor","Ação, Aventura, Fantasia","O poderoso Thor é banido de Asgard e enviado à Terra, onde deve provar seu valor."
"Captain America: The First Avenger","Ação, Aventura, Ficção","Durante a Segunda Guerra Mundial, Steve Rogers se torna o super soldado Capitão América."
"The Avengers","Ação, Aventura, Sci-Fi","Heróis se unem para enfrentar uma ameaça global liderada por Loki, irmão de Thor."
"Iron Man 3","Ação, Aventura, Sci-Fi","Tony Stark enfrenta inimigos pessoais e um novo vilão poderoso, o Mandarim."
"Thor: The Dark World","Ação, Aventura, Fantasia","Thor deve enfrentar uma ameaça antiga que coloca em perigo os Nove Reinos."
"Captain America: The Winter Soldier","Ação, Aventura, Sci-Fi","Capitão América enfrenta um misterioso assassino conhecido como Soldado Invernal."
"Guardians of the Galaxy","Ação, Aventura, Sci-Fi","Um grupo de desajustados espaciais se une para salvar a galáxia."
"Avengers: Age of Ultron","Ação, Aventura, Sci-Fi","Os Vingadores enfrentam uma inteligência artificial que ameaça destruir a humanidade."
"Ant-Man","Ação, Aventura, Sci-Fi","Um ladrão reformado utiliza um traje que permite encolher para ajudar a salvar o mundo."
"Captain America: Civil War","Ação, Aventura, Sci-Fi","Capitão América e Homem de Ferro se confrontam, dividindo os Vingadores em uma guerra interna."
"Doctor Strange","Ação, Aventura, Fantasia","Um cirurgião arrogante explora a magia para curar suas mãos e se torna o Mago Supremo."
"Guardians of the Galaxy Vol. 2","Ação, Aventura, Sci-Fi","Os Guardiões enfrentam o pai de Peter Quill, que esconde um segredo perigoso."
"Spider-Man: Homecoming","Ação, Aventura, Sci-Fi","Peter Parker tenta equilibrar a vida de adolescente com o trabalho de herói."
"Thor: Ragnarok","Ação, Aventura, Fantasia","Thor precisa enfrentar Hela e impedir o Ragnarok, a destruição de Asgard."
"Black Panther","Ação, Aventura, Sci-Fi","T'Challa retorna a Wakanda como rei, mas enfrenta desafios ao trono e ao futuro de seu povo."
"Avengers: Infinity War","Ação, Aventura, Sci-Fi","Os Vingadores enfrentam Thanos em uma batalha para salvar o universo."
"Avengers: Endgame","Ação, Aventura, Sci-Fi","Após a destruição causada por Thanos, os Vingadores tentam desfazer a devastação."
